Crash ID,State,Dayweek,Crash Type,Bus Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,Christmas Period,Easter Period,Age Group,Day of week,Time of day,DateTime,Year,Hour,Decade
20231235,NSW,Friday,Single,No,No,100,Driver,Male,70,No,No,65_to_74,Weekday,Day,2023-10-01 12:45:00,2023,12,2020s
20234035,SA,Wednesday,Multiple,No,Yes,100,Driver,Male,36,No,No,26_to_39,Weekday,Night,2023-10-01 22:02:00,2023,22,2020s
20231098,NSW,Monday,Multiple,No,No,100,Driver,Female,65,No,No,65_to_74,Weekday,Day,2023-10-01 06:40:00,2023,6,2020s
20234050,SA,Tuesday,Multiple,No,No,100,Passenger,Female,84,No,No,75_or_older,Weekday,Day,2023-10-01 17:20:00,2023,17,2020s
20231224,NSW,Thursday,Multiple,No,No,60,Passenger,Male,90,No,No,75_or_older,Weekday,Day,2023-10-01 10:10:00,2023,10,2020s
20231135,NSW,Thursday,Multiple,No,No,50,Driver,Male,40,No,No,40_to_64,Weekday,Night,2023-10-01 19:40:00,2023,19,2020s
20231134,NSW,Tuesday,Single,No,No,60,Passenger,Female,100,No,No,75_or_older,Weekday,Day,2023-10-01 11:30:00,2023,11,2020s
20231134,NSW,Tuesday,Single,No,No,60,Passenger,Male,75,No,No,75_or_older,Weekday,Day,2023-10-01 11:30:00,2023,11,2020s
20231208,NSW,Thursday,Single,No,No,100,Driver,Female,87,No,No,75_or_older,Weekday,Day,2023-10-01 13:10:00,2023,13,2020s
20234016,SA,Tuesday,Multiple,No,No,50,Motorcycle rider,Male,46,No,No,40_to_64,Weekday,Night,2023-10-01 21:35:00,2023,21,2020s
20231158,NSW,Monday,Single,No,No,60,Motorcycle rider,Male,52,No,No,40_to_64,Weekday,Night,2023-10-01 22:00:00,2023,22,2020s
20231211,NSW,Wednesday,Single,No,No,50,Driver,Male,48,No,No,40_to_64,Weekday,Night,2023-10-01 23:30:00,2023,23,2020s
20231072,NSW,Friday,Multiple,No,No,100,Driver,Male,22,No,No,17_to_25,Weekday,Day,2023-10-01 06:15:00,2023,6,2020s
20235097,WA,Tuesday,Single,No,No,110,Driver,Male,29,No,No,26_to_39,Weekday,Day,2023-10-01 15:25:00,2023,15,2020s
20233033,Qld,Sunday,Single,No,No,60,Pedestrian,Male,27,No,No,26_to_39,Weekend,Day,2023-10-01 15:00:00,2023,15,2020s
20231245,NSW,Sunday,Single,No,No,50,Pedestrian,Male,52,No,No,40_to_64,Weekend,Day,2023-10-01 16:53:00,2023,16,2020s
20231145,NSW,Wednesday,Single,No,No,50,Pedestrian,Male,13,No,No,0_to_16,Weekday,Day,2023-10-01 15:30:00,2023,15,2020s
20231065,NSW,Thursday,Multiple,No,No,110,Motorcycle rider,Male,67,No,No,65_to_74,Weekday,Night,2023-10-01 20:45:00,2023,20,2020s
20233157,Qld,Monday,Single,No,No,20,Pedestrian,Male,72,No,No,65_to_74,Weekday,Day,2023-10-01 08:00:00,2023,8,2020s
20231024,NSW,Tuesday,Single,No,No,50,Pedestrian,Female,83,No,No,75_or_older,Weekday,Day,2023-10-01 11:59:00,2023,11,2020s
20231219,NSW,Monday,Single,No,No,80,Pedestrian,Male,83,No,No,75_or_older,Weekday,Night,2023-10-01 19:30:00,2023,19,2020s
20236013,Tas,Thursday,Multiple,No,No,50,Pedestrian,Male,26,No,No,26_to_39,Weekday,Night,2023-10-01 21:21:00,2023,21,2020s
